"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"391","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",11,2021,450,9,50
"392","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",12,2021,704,7.7,91.4
"393","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",1,2022,881,8.7,101.3
"394","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",2,2022,757,8,94.6
"395","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",3,2022,658,8.5,77.4
"396","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",4,2022,761,8,95.1
"397","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",5,2022,671,7.6,88.3
"398","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",6,2022,890,7,127.1
"399","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",7,2022,523,5.7,91.8
"400","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",8,2022,699,6.6,105.9
"401","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",9,2022,558,7,79.7
"402","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",10,2022,895,8.3,107.8
"403","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",11,2022,609,7.3,83.4
"404","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",12,2022,804,7.8,103.1
"405","3d22b038","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Autumn",4,2017,1544,7.2,214.4
"406","3d22b038","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Autumn",5,2017,1379,7.1,194.2
"407","3d22b038","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",6,2017,1228,7,175.4
"408","3d22b038","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",7,2017,1444,6.8,212.4
"409","3d22b038","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",8,2017,1210,7.3,165.8
"410","3d22b038","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Spring",9,2017,1288,8.2,157.1
"411","3d22b038","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Spring",10,2017,1451,7.6,190.9
"412","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Winter",6,2021,1510,6.8,222.1
"413","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Winter",7,2021,1140,6.6,172.7
"414","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Winter",8,2021,1020,6.7,152.2
"415","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Spring",9,2021,690,6.5,106.2
"416","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Spring",10,2021,930,6.5,143.1
"417","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Spring",11,2021,1260,6.8,185.3
"418","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Summer",12,2021,985,6.9,142.8
"419","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Summer",1,2022,995,6.9,144.2
"420","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Summer",2,2022,1060,6.9,153.6
"421","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Autumn",3,2022,1050,6.9,152.2
"422","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Autumn",4,2022,1190,7.4,160.8
"423","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Autumn",5,2022,1070,7.4,144.6
"424","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Winter",6,2022,1065,6.6,161.4
"425","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Winter",7,2022,1055,6.8,155.1
"426","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Spring",10,2022,1032,6.9,149.6
"427","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Spring",11,2022,1180,7.7,153.2
"428","bada0ebe","Nissan Leaf (62 kWh)","Auckland","Summer",12,2022,1090,7.8,139.7
"429","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",8,2017,1075,6.8,158.1
"430","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",9,2017,1100,7.6,144.7
"431","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",10,2017,960,7.8,123.1
"432","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",11,2017,960,8.1,118.5
"433","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",12,2017,920,8.5,108.2
"434","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",1,2018,1000,8.5,117.6
"435","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",2,2018,920,8.5,108.2
"436","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2018,1244,8.5,146.4
"437","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2018,776,8.3,93.5
"438","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2018,1090,8.4,129.8
"439","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",6,2018,240,8.4,28.6
"440","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",7,2018,940,8.2,114.6
"441","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",8,2018,1155,8.3,139.2
"442","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",9,2018,715,8.3,86.1
"443","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",10,2018,1440,8.3,173.5
"444","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",11,2018,1020,8.3,122.9
"445","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",12,2018,570,8.3,68.7
"446","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",1,2019,810,8.3,97.6
"447","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",2,2019,1180,8.3,142.2
"448","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2019,1060,8.3,127.7
"449","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2019,1120,8.3,134.9
"450","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2019,1100,8.2,134.1
"451","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",6,2019,1205,8.2,147
"452","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",7,2019,1290,8.2,157.3
"453","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Winter",8,2019,805,8.1,99.4
"454","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",9,2019,1020,8.2,124.4
"455","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",10,2019,1060,8.2,129.3
"456","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Spring",11,2019,820,8.4,97.6
"457","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",12,2019,740,8.4,88.1
"458","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",1,2020,1084,8.3,130.6
"459","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Summer",2,2020,1076,8.2,131.2
"460","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2020,1080,8.2,131.7
"461","d22f5f60","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2020,700,8.2,85.4
