"","year","month","weather_region","vehicle","model","region","season","distance","efficiency","kwh","economy","wh","HDD","CDD","avg_temp","time_month","date","predict_vehicle_econ","wh_pred"
"24211",2022,1,"auckland","cbfacded","Nissan Leaf (30 kWh)","Auckland","Summer",625,6.6,94.7,151.515151515152,94700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,137.05469412535,85659.1838283438
"24212",2022,1,"auckland","05c27562","Nissan e-NV200 (24 kWh)","Auckland","Summer",632,6.7,94.3,149.253731343284,94300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,139.99866925196,88479.1589672384
"24213",2022,1,"auckland","0285ba63","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",410,7.6,53.9,131.578947368421,53900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,129.886496959181,53253.4637532642
"24214",2022,1,"auckland","a929b84b","Nissan Leaf (30 kWh)","Auckland","Summer",846,8.5,99.5,117.647058823529,99500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,114.963455249894,97259.0831414102
"24215",2022,1,"auckland","e5ce6cf9","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",646,7.8,82.8,128.205128205128,82800,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,126.825298479052,81929.1428174674
"24216",2022,1,"auckland","609a24a1","Nissan Leaf (30 kWh)","Auckland","Summer",1204,7.2,167.2,138.888888888889,167200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,134.272775723572,161664.421971181
"24217",2022,1,"auckland","6aae5f69","Nissan Leaf (24 kWh) 2011-2012","Auckland","Summer",89,7.9,11.3,126.582278481013,11300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,136.655186774936,12162.3116229693
"24218",2022,1,"auckland","ff16c8d4","Nissan Leaf (30 kWh)","Auckland","Summer",826,8.6,96,116.279069767442,96000,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,129.652806842594,107093.218451982
"24219",2022,1,"auckland","30c78336","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",473,8.1,58.4,123.456790123457,58400,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,128.803064733767,60923.8496190716
"24220",2022,1,"auckland","d425006d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",464,6.8,68.2,147.058823529412,68200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,131.796719195539,61153.6777067301
"24221",2022,1,"auckland","73568338","Nissan Leaf (30 kWh)","Auckland","Summer",523,8.4,62.3,119.047619047619,62300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,132.580633813108,69339.6714842557
"24222",2022,1,"auckland","7781366d","Nissan Leaf (40 kWh)","Auckland","Summer",1731,6.5,266.3,153.846153846154,266300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,146.041957010369,252798.627584948
"24223",2022,1,"auckland","478950f6","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",431,8.4,51.3,119.047619047619,51300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,115.340584284753,49711.7918267287
"24224",2022,1,"auckland","1e7cfd4b","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",616,8.9,69.2,112.359550561798,69200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,117.244394424608,72222.5469655584
"24225",2022,1,"auckland","c66d1c6f","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1618,7.4,218.6,135.135135135135,218600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,122.532030044107,198256.824611365
"24226",2022,1,"auckland","ddfcb2f6","Nissan Leaf (30 kWh)","Auckland","Summer",3104,6.2,500.6,161.290322580645,500600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,163.758601365471,508306.698638421
"24227",2022,1,"auckland","d84a72f2","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",405,6.5,62.3,153.846153846154,62300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,147.207957928958,59619.2229612279
"24228",2022,1,"auckland","853b5c95","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1072,7.6,141.1,131.578947368421,141100,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,127.185868616087,136343.251156445
"24229",2022,1,"auckland","af687586","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1316,6.4,205.6,156.25,205600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,159.427564366294,209806.674706043
"24230",2022,1,"auckland","37449cfa","Nissan Leaf (30 kWh)","Auckland","Summer",1122,7.5,149.6,133.333333333333,149600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,136.307982400654,152937.556253533
"24231",2022,1,"auckland","4a2a4ace","Nissan Leaf (30 kWh)","Auckland","Summer",811,9.3,87.2,107.52688172043,87200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,119.063274572517,96560.3156783112
"24232",2022,1,"auckland","f535a045","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",221,8.3,26.6,120.481927710843,26600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,128.944556127016,28496.7469040705
"24233",2022,1,"auckland","0eb114d1","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",455,7.4,61.5,135.135135135135,61500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,138.106158108935,62838.3019395656
"24234",2022,1,"auckland","1b1e6f87","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",317,5.7,55.6,175.438596491228,55600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,163.389039437116,51794.3255015658
"24235",2022,1,"auckland","fc3dc8fb","Nissan Leaf (24 kWh) 2011-2012","Auckland","Summer",760,7.3,104.1,136.986301369863,104100,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,135.982759132146,103346.896940431
